,PostalCode,Borough,Neighborhood
0,M1B,Scarborough,"Rouge, Rouge, Rouge, Malvern, Malvern, Malvern"
1,M1C,Scarborough,"Highland Creek, Highland Creek, Highland Creek, Rouge Hill, Rouge Hill, Rouge Hill, Port Union, Port Union, Port Union"
2,M1E,Scarborough,"Guildwood, Guildwood, Guildwood, Morningside, Morningside, Morningside, West Hill, West Hill, West Hill"
3,M1G,Scarborough,"Woburn, Woburn, Woburn"
4,M1H,Scarborough,"Cedarbrae, Cedarbrae, Cedarbrae"
5,M1J,Scarborough,"Scarborough Village, Scarborough Village, Scarborough Village"
6,M1K,Scarborough,"East Birchmount Park, East Birchmount Park, East Birchmount Park, Ionview, Ionview, Ionview, Kennedy Park, Kennedy Park, Kennedy Park"
7,M1L,Scarborough,"Clairlea, Clairlea, Clairlea, Golden Mile, Golden Mile, Golden Mile, Oakridge, Oakridge, Oakridge"
8,M1M,Scarborough,"Cliffcrest, Cliffcrest, Cliffcrest, Cliffside, Cliffside, Cliffside, Scarborough Village West, Scarborough Village West, Scarborough Village West"
9,M1N,Scarborough,"Birch Cliff, Birch Cliff, Birch Cliff, Cliffside West, Cliffside West, Cliffside West"
10,M1P,Scarborough,"Dorset Park, Dorset Park, Dorset Park, Scarborough Town Centre, Scarborough Town Centre, Scarborough Town Centre, Wexford Heights, Wexford Heights, Wexford Heights"
11,M1R,Scarborough,"Maryvale, Maryvale, Maryvale, Wexford, Wexford, Wexford"
12,M1S,Scarborough,"Agincourt, Agincourt, Agincourt"
13,M1T,Scarborough,"Clarks Corners, Clarks Corners, Clarks Corners, Sullivan, Sullivan, Sullivan, Tam O'Shanter, Tam O'Shanter, Tam O'Shanter"
14,M1V,Scarborough,"Agincourt North, Agincourt North, Agincourt North, L'Amoreaux East, L'Amoreaux East, L'Amoreaux East, Milliken, Milliken, Milliken, Steeles East, Steeles East, Steeles East"
15,M1W,Scarborough,"L'Amoreaux West, L'Amoreaux West, L'Amoreaux West, Steeles West, Steeles West, Steeles West"
16,M1X,Scarborough,"Upper Rouge, Upper Rouge, Upper Rouge"
17,M2H,North York,"Hillcrest Village, Hillcrest Village, Hillcrest Village"
18,M2J,North York,"Fairview, Fairview, Fairview, Henry Farm, Henry Farm, Henry Farm, Oriole, Oriole, Oriole"
19,M2K,North York,"Bayview Village, Bayview Village, Bayview Village"
20,M2L,North York,"Silver Hills, Silver Hills, Silver Hills, York Mills, York Mills, York Mills"
21,M2M,North York,"Newtonbrook, Newtonbrook, Newtonbrook, Willowdale, Willowdale, Willowdale"
22,M2N,North York,"Willowdale South, Willowdale South, Willowdale South"
23,M2P,North York,"York Mills West, York Mills West, York Mills West"
24,M2R,North York,"Willowdale West, Willowdale West, Willowdale West"
25,M3A,North York,"Parkwoods, Parkwoods, Parkwoods"
26,M3B,North York,"Don Mills North, Don Mills North, Don Mills North"
27,M3C,North York,"Flemingdon Park, Flemingdon Park, Flemingdon Park, Don Mills South, Don Mills South, Don Mills South"
28,M3H,North York,"Bathurst Manor, Bathurst Manor, Bathurst Manor, Downsview North, Downsview North, Downsview North, Wilson Heights, Wilson Heights, Wilson Heights"
29,M3J,North York,"Northwood Park, Northwood Park, Northwood Park, York University, York University, York University"
30,M3K,North York,"CFB Toronto, CFB Toronto, CFB Toronto, Downsview East, Downsview East, Downsview East"
31,M3L,North York,"Downsview West, Downsview West, Downsview West"
32,M3M,North York,"Downsview Central, Downsview Central, Downsview Central"
33,M3N,North York,"Downsview Northwest, Downsview Northwest, Downsview Northwest"
34,M4A,North York,"Victoria Village, Victoria Village, Victoria Village"
35,M4B,East York,"Woodbine Gardens, Woodbine Gardens, Woodbine Gardens, Parkview Hill, Parkview Hill, Parkview Hill"
36,M4C,East York,"Woodbine Heights, Woodbine Heights, Woodbine Heights"
37,M4E,East Toronto,"The Beaches, The Beaches, The Beaches"
38,M4G,East York,"Leaside, Leaside, Leaside"
39,M4H,East York,"Thorncliffe Park, Thorncliffe Park, Thorncliffe Park"
40,M4J,East York,"East Toronto, East Toronto, East Toronto"
41,M4K,East Toronto,"The Danforth West, The Danforth West, The Danforth West, Riverdale, Riverdale, Riverdale"
42,M4L,East Toronto,"The Beaches West, The Beaches West, The Beaches West, India Bazaar, India Bazaar, India Bazaar"
43,M4M,East Toronto,"Studio District, Studio District, Studio District"
44,M4N,Central Toronto,"Lawrence Park, Lawrence Park, Lawrence Park"
45,M4P,Central Toronto,"Davisville North, Davisville North, Davisville North"
46,M4R,Central Toronto,"North Toronto West, North Toronto West, North Toronto West"
47,M4S,Central Toronto,"Davisville, Davisville, Davisville"
48,M4T,Central Toronto,"Moore Park, Moore Park, Moore Park, Summerhill East, Summerhill East, Summerhill East"
49,M4V,Central Toronto,"Deer Park, Deer Park, Deer Park, Forest Hill SE, Forest Hill SE, Forest Hill SE, Rathnelly, Rathnelly, Rathnelly, South Hill, South Hill, South Hill, Summerhill West, Summerhill West, Summerhill West"
50,M4W,Downtown Toronto,"Rosedale, Rosedale, Rosedale"
51,M4X,Downtown Toronto,"Cabbagetown, Cabbagetown, Cabbagetown, St. James Town, St. James Town, St. James Town"
52,M4Y,Downtown Toronto,"Church and Wellesley, Church and Wellesley, Church and Wellesley"
53,M5A,Downtown Toronto,"Harbourfront, Harbourfront, Harbourfront, Regent Park, Regent Park, Regent Park"
54,M5B,Downtown Toronto,"Ryerson, Ryerson, Ryerson, Garden District, Garden District, Garden District"
55,M5C,Downtown Toronto,"St. James Town, St. James Town, St. James Town"
56,M5E,Downtown Toronto,"Berczy Park, Berczy Park, Berczy Park"
57,M5G,Downtown Toronto,"Central Bay Street, Central Bay Street, Central Bay Street"
58,M5H,Downtown Toronto,"Adelaide, Adelaide, Adelaide, King, King, King, Richmond, Richmond, Richmond"
59,M5J,Downtown Toronto,"Harbourfront East, Harbourfront East, Harbourfront East, Toronto Islands, Toronto Islands, Toronto Islands, Union Station, Union Station, Union Station"
60,M5K,Downtown Toronto,"Design Exchange, Design Exchange, Design Exchange, Toronto Dominion Centre, Toronto Dominion Centre, Toronto Dominion Centre"
61,M5L,Downtown Toronto,"Commerce Court, Commerce Court, Commerce Court, Victoria Hotel, Victoria Hotel, Victoria Hotel"
62,M5M,North York,"Bedford Park, Bedford Park, Bedford Park, Lawrence Manor East, Lawrence Manor East, Lawrence Manor East"
63,M5N,Central Toronto,"Roselawn, Roselawn, Roselawn"
64,M5P,Central Toronto,"Forest Hill North, Forest Hill North, Forest Hill North, Forest Hill West, Forest Hill West, Forest Hill West"
65,M5R,Central Toronto,"The Annex, The Annex, The Annex, North Midtown, North Midtown, North Midtown, Yorkville, Yorkville, Yorkville"
66,M5S,Downtown Toronto,"Harbord, Harbord, Harbord, University of Toronto, University of Toronto, University of Toronto"
67,M5T,Downtown Toronto,"Chinatown, Chinatown, Chinatown, Grange Park, Grange Park, Grange Park, Kensington Market, Kensington Market, Kensington Market"
68,M5V,Downtown Toronto,"CN Tower, CN Tower, CN Tower, Bathurst Quay, Bathurst Quay, Bathurst Quay, Island airport, Island airport, Island airport, Harbourfront West, Harbourfront West, Harbourfront West, King and Spadina, King and Spadina, King and Spadina, Railway Lands, Railway Lands, Railway Lands, South Niagara, South Niagara, South Niagara"
69,M5W,Downtown Toronto,"Stn A PO Boxes 25 The Esplanade, Stn A PO Boxes 25 The Esplanade, Stn A PO Boxes 25 The Esplanade"
70,M5X,Downtown Toronto,"First Canadian Place, First Canadian Place, First Canadian Place, Underground city, Underground city, Underground city"
